Solution #, n, T, alpha, beta, l_0
359, 1.800000, 476.276500, 0.465820, 0.534180, 0.000000
360, 1.800000, 476.276500, 0.466064, 0.533936, 0.000000
361, 1.800000, 476.276500, 0.938965, -0.061035, 0.111572
362, 1.800000, 476.276500, 0.939209, -0.060791, 0.111328
363, 1.800000, 476.276500, 0.939209, -0.060791, 0.111084
364, 1.800000, 476.276500, 0.466064, 0.533936, -0.000000
365, 1.800000, 476.276500, 0.465820, 0.534180, -0.000000
366, 1.800000, 476.276500, 0.465576, 0.534424, -0.000000
367, 1.800000, 476.276500, 0.465332, 0.534668, -0.000000
368, 1.800000, 476.276500, 0.465088, 0.534912, -0.000000
369, 1.800000, 476.276500, 0.464844, 0.535156, -0.000000
370, 1.800000, 476.276500, 0.464600, 0.535400, -0.000000
371, 1.800000, 476.276500, 0.464355, 0.535645, -0.000000
372, 1.800000, 476.276500, 0.464111, 0.535889, -0.000000
373, 1.800000, 476.276500, 0.463867, 0.536133, -0.000000
374, 1.800000, 476.276500, 0.463623, 0.536377, -0.000000
375, 1.800000, 476.276500, 0.464844, 0.535156, -0.000244
376, 1.800000, 476.276500, 0.464600, 0.535400, -0.000244
377, 1.800000, 476.276500, 0.464355, 0.535645, -0.000244
378, 1.800000, 476.276500, 0.464111, 0.535889, -0.000244
379, 1.800000, 476.276500, 0.463867, 0.536133, -0.000244
380, 1.800000, 476.276500, 0.463623, 0.536377, -0.000244
381, 1.800000, 476.276500, 0.463379, 0.536621, -0.000244
382, 1.800000, 476.276500, 0.463135, 0.536865, -0.000244
383, 1.800000, 476.276500, 0.462891, 0.537109, -0.000244
384, 1.800000, 476.276500, 0.462646, 0.537354, -0.000244
385, 1.800000, 476.276500, 0.462402, 0.537598, -0.000244
386, 1.800000, 476.276500, 0.462158, 0.537842, -0.000244
387, 1.900000, 486.027900, -0.057129, 0.942871, -0.107178
388, 1.900000, 486.027900, -0.056885, 0.943115, -0.106934
389, 1.900000, 486.027900, -0.056885, 0.943115, -0.106689
390, 1.900000, 486.027900, 0.462158, 0.537842, -0.000244
391, 1.900000, 486.027900, 0.462402, 0.537598, -0.000244
392, 1.900000, 486.027900, 0.462646, 0.537354, -0.000244
393, 1.900000, 486.027900, 0.462891, 0.537109, -0.000244
394, 1.900000, 486.027900, 0.463135, 0.536865, -0.000244
395, 1.900000, 486.027900, 0.463379, 0.536621, -0.000244
396, 1.900000, 486.027900, 0.463623, 0.536377, -0.000244
397, 1.900000, 486.027900, 0.463867, 0.536133, -0.000244
398, 1.900000, 486.027900, 0.464111, 0.535889, -0.000244
399, 1.900000, 486.027900, 0.464355, 0.535645, -0.000244
400, 1.900000, 486.027900, 0.464600, 0.535400, -0.000244
401, 1.900000, 486.027900, 0.464844, 0.535156, -0.000244
402, 1.900000, 486.027900, 0.463623, 0.536377, 0.000000
403, 1.900000, 486.027900, 0.463867, 0.536133, 0.000000
404, 1.900000, 486.027900, 0.464111, 0.535889, 0.000000
405, 1.900000, 486.027900, 0.464355, 0.535645, 0.000000
406, 1.900000, 486.027900, 0.464600, 0.535400, 0.000000
407, 1.900000, 486.027900, 0.464844, 0.535156, 0.000000
408, 1.900000, 486.027900, 0.465088, 0.534912, 0.000000
409, 1.900000, 486.027900, 0.465332, 0.534668, 0.000000
410, 1.900000, 486.027900, 0.465576, 0.534424, 0.000000
411, 1.900000, 486.027900, 0.465820, 0.534180, 0.000000
412, 1.900000, 486.027900, 0.466064, 0.533936, 0.000000
413, 1.900000, 486.027900, 0.939697, -0.060303, 0.110840
414, 1.900000, 486.027900, 0.939941, -0.060059, 0.110596
415, 1.900000, 486.027900, 0.939941, -0.060059, 0.110352
416, 1.900000, 486.027900, 0.466064, 0.533936, -0.000000
417, 1.900000, 486.027900, 0.465820, 0.534180, -0.000000
418, 1.900000, 486.027900, 0.465576, 0.534424, -0.000000
419, 1.900000, 486.027900, 0.465332, 0.534668, -0.000000
420, 1.900000, 486.027900, 0.465088, 0.534912, -0.000000
421, 1.900000, 486.027900, 0.464844, 0.535156, -0.000000
422, 1.900000, 486.027900, 0.464600, 0.535400, -0.000000
423, 1.900000, 486.027900, 0.464355, 0.535645, -0.000000
424, 1.900000, 486.027900, 0.464111, 0.535889, -0.000000
425, 1.900000, 486.027900, 0.463867, 0.536133, -0.000000
426, 1.900000, 486.027900, 0.463623, 0.536377, -0.000000
427, 1.900000, 486.027900, 0.464844, 0.535156, -0.000244
428, 1.900000, 486.027900, 0.464600, 0.535400, -0.000244
429, 1.900000, 486.027900, 0.464355, 0.535645, -0.000244
430, 1.900000, 486.027900, 0.464111, 0.535889, -0.000244
431, 1.900000, 486.027900, 0.463867, 0.536133, -0.000244
432, 1.900000, 486.027900, 0.463623, 0.536377, -0.000244
